clip_id,file_name,start_time_s,end_time_s,duration_s,audio_layout,program_type,segment_type,lufs_integrated,true_peak_dbfs,silence_ratio,stereo_correlation,snr_estimated,label_loudness_high,label_loudness_low,label_clipping,label_noise_high,label_silence_anomalous,label_mono_issue,label_distortion,source_format,source_origin,pre_correction,qc_result,annotator,synthetic_case,synthetic_type,confidence,notes,y_bin
100ECDICEN_PGR276 B1_FULL MIX_1,100ECDICEN_PGR276 B1_FULL MIX.wav,0,5,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_2,100ECDICEN_PGR276 B1_FULL MIX.wav,5,10,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_3,100ECDICEN_PGR276 B1_FULL MIX.wav,10,15,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_4,100ECDICEN_PGR276 B1_FULL MIX.wav,15,20,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_5,100ECDICEN_PGR276 B1_FULL MIX.wav,20,25,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_6,100ECDICEN_PGR276 B1_FULL MIX.wav,25,30,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_7,100ECDICEN_PGR276 B1_FULL MIX.wav,30,35,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_8,100ECDICEN_PGR276 B1_FULL MIX.wav,35,40,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_9,100ECDICEN_PGR276 B1_FULL MIX.wav,40,45,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_10,100ECDICEN_PGR276 B1_FULL MIX.wav,45,50,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_11,100ECDICEN_PGR276 B1_FULL MIX.wav,50,55,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_12,100ECDICEN_PGR276 B1_FULL MIX.wav,55,60,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_13,100ECDICEN_PGR276 B1_FULL MIX.wav,60,65,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
100ECDICEN_PGR276 B1_FULL MIX_14,100ECDICEN_PGR276 B1_FULL MIX.wav,65,70,5,STEREO,SERIE,MIXTO,,,,,,0,0,0,0,0,0,0,WAV,CANAL,0,OK,AA,0,0,5,,0
